NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTURA,NRO,NroACI
BASE BELGRANO II,ANTARTIDA,-77.8667,-34.6167,256,89034,SAYB
BASE CARLINI (EX JUBANY),ANTARTIDA,-62.2333,-58.6500,11,89053,SAYJ
BASE ESPERANZA,ANTARTIDA,-63.3833,-56.9833,24,88963,SAYE
BASE MARAMBIO,ANTARTIDA,-64.2333,-56.6167,198,89055,SAWB
BASE ORCADAS,ANTARTIDA,-60.7333,-44.7333,12,88968,SAYO
BASE SAN MARTIN,ANTARTIDA,-68.1167,-67.1000,7,89066,SAYS
AZUL AERO,BUENOS AIRES,-36.8167,-59.8833,147,87641,SAZA
BAHIA BLANCA AERO,BUENOS AIRES,-38.7000,-62.1500,83,87750,SAZB
BENITO JUAREZ,BUENOS AIRES,-37.7000,-59.7833,207,87649,SAZJ
BOLIVAR AERO,BUENOS AIRES,-36.1833,-61.0667,94,87640,SAZI
CAMPO DE MAYO AERO,BUENOS AIRES,-34.5333,-58.6667,26,87570,SADO
CORONEL SUAREZ AERO,BUENOS AIRES,-37.4500,-61.8833,233,87637,SAZC
DOLORES AERO,BUENOS AIRES,-36.3167,-57.7167,9,87648,SAZD
EL PALOMAR AERO,BUENOS AIRES,-34.6000,-58.6000,12,87571,SADP
EZEIZA AERO,BUENOS AIRES,-34.8167,-58.5333,20,87576,SAEZ
JUNIN AERO,BUENOS AIRES,-34.5500,-60.9167,81,87548,SAAJ
LA PLATA AERO,BUENOS AIRES,-34.9500,-57.8833,23,87593,SADL
LAS FLORES,BUENOS AIRES,-36.0333,-59.1333,36,87563,SAEL
MAR DEL PLATA AERO,BUENOS AIRES,-37.9167,-57.5667,21,87692,SAZM
MARIANO MORENO AERO,BUENOS AIRES,-34.5500,-58.7833,32,87572,SADJ
MERLO AERO,BUENOS AIRES,-34.6833,-58.7333,24,87573,SADR
MORON AERO,BUENOS AIRES,-34.6667,-58.6333,24,87574,SADM
NUEVE DE JULIO,BUENOS AIRES,-35.4333,-60.8667,76,87550,SAZX
OLAVARRIA AERO,BUENOS AIRES,-36.8833,-60.2167,166,87643,SAZF
PEHUAJO AERO,BUENOS AIRES,-35.8333,-61.8500,87,87544,SAZP
PIGUE AERO,BUENOS AIRES,-37.6000,-62.3833,304,87679,SAZE
PUNTA INDIO B.A.,BUENOS AIRES,-35.3500,-57.2833,22,87596,SAAI
SAN FERNANDO AERO,BUENOS AIRES,-34.4500,-58.5833,5,87553,SADF
TANDIL AERO,BUENOS AIRES,-37.2333,-59.2167,175,87645,SAZT
TRENQUE LAUQUEN,BUENOS AIRES,-35.9667,-62.7167,95,87540,SAET
TRES ARROYOS,BUENOS AIRES,-38.3500,-60.2833,115,87688,SAZH
VILLA GESELL AERO,BUENOS AIRES,-37.2333,-57.0167,9,87663,SAZV
AEROPARQUE AERO,CAPITAL FEDERAL,-34.5500,-58.4167,6,87582,SABE
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,-34.5833,-58.4833,25,87585,SABA
CATAMARCA AERO,CATAMARCA,-28.5833,-65.7500,464,87222,SANC
TINOGASTA,CATAMARCA,-28.0667,-67.5500,1201,87211,SANI
PRESIDENCIA ROQUE SAENZ PEÑA AERO,CHACO,-26.7333,-60.4833,93,87148,SARS
RESISTENCIA AERO,CHACO,-27.4333,-59.0333,52,87155,SARE
COMODORO RIVADAVIA AERO,CHUBUT,-45.7833,-67.4500,46,87860,SAVC
ESQUEL AERO,CHUBUT,-42.9000,-71.1333,797,87803,SAVE
PASO DE INDIOS,CHUBUT,-43.8500,-69.0333,478,87814,SAVP
PUERTO MADRYN AERO,CHUBUT,-42.7500,-65.1000,136,87823,SAVY
TRELEW AERO,CHUBUT,-43.2000,-65.2667,43,87828,SAVT
CORDOBA AERO,CORDOBA,-31.2833,-64.2000,495,87344,SACO
CORDOBA OBSERVATORIO,CORDOBA,-31.4167,-64.1833,425,87345,SACK
ESCUELA DE AVIACION MILITAR AERO,CORDOBA,-31.4333,-64.2667,502,87347,SACE
LABOULAYE AERO,CORDOBA,-34.1167,-63.3667,137,87534,SAOL
MARCOS JUAREZ AERO,CORDOBA,-32.6667,-62.1500,114,87467,SAOM
PILAR OBSERVATORIO,CORDOBA,-31.6667,-63.8667,338,87349,SACI
RIO CUARTO AERO,CORDOBA,-33.0833,-64.2667,421,87453,SAOC
VILLA DE MARIA DEL RIO SECO,CORDOBA,-29.9000,-63.7167,341,87244,SACV
VILLA DOLORES AERO,CORDOBA,-31.9500,-65.1333,569,87328,SAOD
CORRIENTES AERO,CORRIENTES,-27.4333,-58.7500,62,87166,SARC
ITUZAINGO,CORRIENTES,-27.5833,-56.6667,72,87173,SARO
MERCEDES AERO (CTES),CORRIENTES,-29.2167,-58.0833,107,87281,SATM
MONTE CASEROS AERO,CORRIENTES,-30.2500,-57.6333,54,87393,SARM
PASO DE LOS LIBRES AERO,CORRIENTES,-29.6833,-57.1333,70,87289,SARL
CONCORDIA AERO,ENTRE RIOS,-31.3000,-58.0000,37,87395,SAAC
GUALEGUAYCHU AERO,ENTRE RIOS,-33.0000,-58.6000,23,87497,SAAG
